Codice Articolo;Descrizione;EAN13;UM;ID_Prodotto;ID_variante;Descr_web;pesotassabile;Prezzo;PrezzoNoIva;Iva;Dispnetta
10.CI07.4;CONITIN IMPREGNANTE Y07 QUERCIA ML375;8024060391740;NR;280059;117790;NULL;0.400000000;8.330000;8.330000;22;17.000000000
10.CI07.5;CONITIN IMPREGNANTE Y07 QUERCIA (I) LT18;8024060011839;NR;280059;166118;" ";16.850000000;268.360000;268.360000;22;0.000000000
10.CIG.1;CONITIN IMPREGNANTE PINO (G) LT20ESAURITO;8024060039710;NR;280059;117758;NULL;18.590000000;0.000000;0.000000;22;0.000000000
10.CIG.2;CONITIN IMPREGNANTE PINO (G) LT2,5;8024060039727;NR;280059;117757;NULL;2.440000000;41.590000;41.590000;22;19.000000000
10.CIG.3;CONITIN IMPREGNANTE PINO (G) ML750;8024060039734;NR;280059;117760;NULL;0.740000000;13.770000;13.770000;22;154.000000000
10.CIG.4;CONITIN IMPREGNANTE PINO (G) ML375;8024060039741;NR;280059;117759;NULL;0.400000000;8.330000;8.330000;22;64.000000000
10.CIG.5;CONITIN IMPREGNANTE PINO (G) LT18;8024060011846;NR;280059;166119;" ";16.850000000;268.360000;268.360000;22;0.000000000
10.CIGC.1;CONITIN IMPREGNANTE COLORE Y    G LT20ESAURITO;NULL;NR;280059;154284;NULL;18.840000000;0.000000;0.000000;22;0.000000000
10.CIGC.2;CONITIN IMPREGNANTE COLORE Y    G LT2,5;NULL;NR;280059;117794;NULL;2.500000000;47.430000;47.430000;22;0.000000000
10.CIGC.3;CONITIN IMPREGNANTE COLORE Y    G ML750;NULL;NR;280059;117795;NULL;0.770000000;16.400000;16.400000;22;0.000000000
10.CIGC.5;CONITIN IMPREGNANTE COLORE Y    G LT18;8024060011853;NR;280059;166120;" ";16.950000000;292.650000;292.650000;22;0.000000000
10.CII.2;CONITIN IMPREGNANTE INCOLORE (I) LT2,5;8024060039925;NR;280059;117753;NULL;2.420000000;38.130000;38.130000;22;37.000000000
10.CII.3;CONITIN IMPREGNANTE INCOLORE (I) ML750;8024060039932;NR;280059;117756;NULL;0.740000000;12.630000;12.630000;22;212.000000000
10.CII.4;CONITIN IMPREGNANTE INCOLORE (I) ML375;8024060039949;NR;280059;117755;NULL;0.400000000;7.600000;7.600000;22;126.000000000
10.CII.5;CONITIN IMPREGNANTE INCOLORE (I) LT18;8024060011860;NR;280059;166121;" ";16.800000000;245.870000;245.870000;22;6.000000000
10.CIIC.1;CONITIN IMPREGNANTE COLORE Y    I LT20ESAURITO;NULL;NR;280059;154285;NULL;18.640000000;0.000000;0.000000;22;0.000000000
10.CIIC.2;CONITIN IMPREGNANTE COLORE Y    I LT2,5;NULL;NR;280059;117792;NULL;2.460000000;47.430000;47.430000;22;0.000000000
10.CIIC.3;CONITIN IMPREGNANTE COLORE Y    I ML750;NULL;NR;280059;117793;NULL;0.760000000;16.400000;16.400000;22;0.000000000
10.CIIC.5;CONITIN IMPREGNANTE COLORE Y    I LT18;8024060011877;NR;280059;166122;" ";16.800000000;292.650000;292.650000;22;0.000000000
10.CIR.2;CONITIN IMPREGNANTE DOUGLAS (R) LT2,5;8024060391627;NR;280059;117749;NULL;2.420000000;41.590000;41.590000;22;9.000000000
10.CIR.3;CONITIN IMPREGNANTE DOUGLAS (R) ML750;8024060391634;NR;280059;117752;NULL;0.740000000;13.770000;13.770000;22;239.000000000
10.CIR.4;CONITIN IMPREGNANTE DOUGLAS (R) ML375;8024060391641;NR;280059;117751;NULL;0.400000000;8.330000;8.330000;22;126.000000000
10.CIR.5;CONITIN IMPREGNANTE DOUGLAS (R) LT18;8024060011884;NR;280059;166123;" ";16.800000000;268.360000;268.360000;22;0.000000000
10.CIRC.1;CONITIN IMPREGNANTE COLORE Y    R LT20ESAURITO;NULL;NR;280059;154286;NULL;18.840000000;0.000000;0.000000;22;0.000000000
10.CIRC.2;CONITIN IMPREGNANTE COLORE Y    R LT2,5;NULL;NR;280059;117796;NULL;2.500000000;47.430000;47.430000;22;0.000000000
10.CIRC.3;CONITIN IMPREGNANTE COLORE Y    R ML750;NULL;NR;280059;117797;NULL;0.770000000;16.400000;16.400000;22;0.000000000
10.CIRC.5;CONITIN IMPREGNANTE COLORE Y    R LT18;8024060011891;NR;280059;166124;" ";16.800000000;292.650000;292.650000;22;0.000000000
10.CMI.2;CONITIN MARINE LUCIDO INCOLORE LT2,5;8024060311922;NR;280055;117798;NULL;2.640000000;54.780000;54.780000;22;8.000000000
10.CMI.3;CONITIN MARINE LUCIDO INCOLORE ML750;8024060311939;NR;280055;117800;NULL;0.810000000;17.890000;17.890000;22;23.000000000
10.CMI.4;CONITIN MARINE LUCIDO INCOLORE ML375;8024060311946;NR;280055;117799;NULL;0.440000000;10.270000;10.270000;22;80.000000000
10.CMIS.2;CONITIN MARINE SATINATO INCOLORE LT2,5;8024060102520;NR;280056;117801;NULL;2.840000000;54.780000;54.780000;22;29.000000000
10.CMIS.3;CONITIN MARINE SATINATO INCOLORE ML750;8024060107501;NR;280056;117803;NULL;0.860000000;17.890000;17.890000;22;82.000000000
10.CMIS.4;CONITIN MARINE SATINATO INCOLORE ML375;8024060103756;NR;280056;117802;NULL;0.460000000;10.270000;10.270000;22;-18.000000000
10.CPRS02.1;CONITIN IMPREGNANTE PRS Y02 NOCE CH.LT20;8024060379212;NR;280060;117762;NULL;18.390000000;257.310000;257.310000;22;2.000000000
